url,No&Typeengines,NO ENGINES,AircraftType&reg,Year_of_Manufacture,Yr Manuf,AgeAircraft,AGE AIRCRAFT BAND,Date & Time,Time,TIME BAND,Date,SEASON,DAY OF WK,Year,Location,TYPE OF FLIGHT,NoCrew&Passengers,No of passengers,Injuries,INJURY CLASS,Aircraft Damage,DAMAGE CLASSIFICATION,PIC LICENCE,pic age,PIC AGE BAND,Total hrs,TOTAL HRS,Type Hrs,TYPE HRS,90 day Hrs,90 DAY HRS,28 day Hrs,28 DAY HRS
https://assets.digital.cabinet-office.gov.uk/media/56444ce1ed915d566d00002c/Cessna_182P_Skylane_G-BAHD_11-15.pdf," 1 continental motors corp o-470-r piston 
engine",1,":  cessna 182p skylane, g-bahd",1972 (serial no182-61501),1972,43,5, 18 july 2015 at 1000,1000,0900-1159,18/07/2015,Summer,Sat,2015,":  jericho farm, lambley, nottinghamshire",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  nosewheel detached and aircraft extensively 
damaged",2,private pilot licence,47,41-50,421,3,3,1,5,2,3,2
https://assets.digital.cabinet-office.gov.uk/media/56444d6c40f0b674d300002a/Piel_CP301__Modified__Emeraude_G-BCCR_11-15.pdf," 1 continental motors corp o-200-a piston 
engine",1,":  piel cp301 (modified) emeraude, g-bccr",1975 (serial nopfa 712),1975,40,5, 30 june 2015 at 1145,1145,0900-1159,30/06/2015,Summer,Tue,2015,:  leicester airport,private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  damage to left landing gear, left lower wing 
and fuselage, wing spar, propeller.  engine 
shock-loaded",3,private pilot licence,56,51-60,311,3,33,2,8,2,2,2
https://assets.digital.cabinet-office.gov.uk/media/56444d33e5274a59d9000015/Escapade_G-CGNV_11-15.pdf, 1 rotax 912-ul piston engine,1,":  escapade, g-cgnv",2011 (serial nolaa 345-14901),2011,4,1, 24 june 2015 at 1248,1248,1200-1459,24/06/2015,Summer,Wed,2015,":  sandown airport, isle of wight",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  damage to propeller, possible engine 
shock-load, right wing tip and right aileron 
damage, right landing gear bungee failed",3,airline transport pilot licence,64,61-70,22823,5,64,3,154,5,38,5
https://assets.digital.cabinet-office.gov.uk/media/56162a6740f0b65862000007/Auster_J5F_Aiglet_Trainer_G-AMZT_10-15.pdf, 1 de havilland gipsy major i piston engine,1,":  auster j5f aiglet trainer, g-amzt",1953 (serial no3107),1953,62,6, 18 june 2015 at 0930,930,0900-1159,18/06/2015,Summer,Thu,2015,":  bolt head airfield, devon",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,:  damage to fuselage,3,private pilot licence,78,70+,1179,4,799,5,17,3,8,3
https://assets.digital.cabinet-office.gov.uk/media/56162a42ed915d39bc000009/Bolkow_BO_207_G-EFTE_10-15.pdf, 1 lycoming o-360-a1a piston engine,1,":  bolkow bo 207, g-efte",1961 (serial no218),1961,54,5, 6 june 2015 at 1330,1330,1200-1459,06/06/2015,Summer,Sat,2015,":  chichester (goodwood) airfield, west sussex",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  damage to propeller, spinner, cowling and 
engine shock-loaded",3,private pilot licence,58,51-60,825,4,100,4,7,2,3,2
https://assets.digital.cabinet-office.gov.uk/media/56162a0bed915d39bc000007/Denney_Kitfox_G-BSCH_10-15.pdf, 1 rotax 582 piston engine,1,":  denney kitfox, g-bsch",1990 (serial nopfa 172-11621),1990,25,3, 23 june 2015 at 1845,1845,1800-2359,23/06/2015,Summer,Tue,2015,":  private strip at castle bytham, lincolnshire",private,: crew - 1 passengers - none,0,: crew - 1 (minor) passengers - n/a,3,":  damage to propeller, nose cone, windscreen 
and rudder, engine possibly shock-loaded",3,private pilot licence,69,61-70,254,2,68,3,0,1,0,1
https://assets.digital.cabinet-office.gov.uk/media/5616293ced915d39b9000009/Europa_G-TAGR_10-15.pdf, 1 rotax 912 uls piston engine,1,":  europa, g-tagr",2004 (serial nopfa 247-13061),2004,11,2, 1 july 2015 at 1120,1120,0900-1159,01/07/2015,Summer,Wed,2015,":  bolt head airfield, devon",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  tail and rear fuselage cracked, left wing and 
aileron damage",3,private pilot licence,73,70+,1126,4,118,4,32,4,11,4
https://assets.digital.cabinet-office.gov.uk/media/5616213f40f0b65862000005/Great_Lakes_Sports_Trainer_G-GLST_10-15.pdf, 1 warner aircraft corp scarab 165 piston engine,1,":  great lakes sports trainer, g-glst",2010 (serial nopfa 321-13646),2010,5,1, 7 june 2015 at 1515,1515,1500-1759,07/06/2015,Summer,Sun,2015,":  thruxton aerodrome, hampshire",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,:  damage to lower left wing and landing gear,3,private pilot licence,51,51-60,230,2,63,3,7,2,1,1
https://assets.digital.cabinet-office.gov.uk/media/56162113e5274a625100000d/Murphy_Rebel_G-DIKY_10-15.pdf, 1 lycoming o-320-a2b piston engine,1,":  murphy rebel, g-diky",2003 (serial nopfa 232-13182),2003,12,2, 9 july 2015 at 1636,1636,1500-1759,09/07/2015,Summer,Thu,2015,":  stoke golding airfield, leicestershire",training/instruction,: crew - 2 passengers - none,0,: crew - none passengers - n/a,4,":  left landing gear detached, right landing gear 
damaged, propeller destroyed and engine 
shock-loaded.  left wing tip fairing distorted, 
fuselage distorted below right door",3,airline transport pilot licence,60,51-60,18480,5,12,2,280,5,55,5
https://assets.digital.cabinet-office.gov.uk/media/55f12eafed915d14f300000f/Zenair_CH_601HD_Zodiac_G-OANN_09-15.pdf, 1 rotax 912-ul piston engine,1,":  zenair ch 601hd zodiac, g-oann",2000 (serial nopfa 162-12932),2000,15,2, 15 june 2015 at 1438,1438,1200-1459,15/06/2015,Summer,Mon,2015,:  manchester (barton) city airport,private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  nose landing suspension bungee broken; one 
propeller blade broken off",3,private pilot licence,61,61-70,260,2,162,4,117,5,45,5
